Content,Date,User
"Nuestro lord kks es muy insistente en buscar excusas en cosas que le tiran , verán que dentro de un año justificara las 60mil muertes o más porque le costaba o pueblo mantener a gente con problemas de hipertensión obesidad etc",26 ago.,@jerryivan
Vuestra Merced El Licenciado Peña Nieto,26 ago.,@CeltaMexa
"@lopezobrador_  recibes limosnas de maduro ...no te cansaste de robar ...maldito traidor ...renuncia 
#mexico #vivamexico",26 ago.,@jeovaa2020
"Siempre viviendo del pasado y el está superando a sus antecesores en corrupción,desempleo,muertes,una pandemia que se les fue de las manos,desabasto de medicamentos en ignorancia supero a Peña Nieto etc.etc.",26 ago.,@SandraC92346693
"Todo perfecto pero el dinero entregado a Pío? Fue el modus operandis durante los 18 años que duró el movimiento para llegar a la presidencia de la República, el buen juez por su casa empieza @lopezobrador",26 ago.,@cmzapatac
"¿Ya les dio sus croquetas a los perritos y gatitos? ¿Y si les da trabajo? ¿O le gusta asi? Que dependan del gobierno... cuide a sus mascotas, no se le vayan a poner bravas...",26 ago.,@ReginadelC
"¡Andrés Manuel, ya deja de mentir! Tú no tienes conciencia, por eso no te importa el sufrimiento de la gente que está perdiendo sus empleos y a sus seres queridos, que no tiene que comer, ni medicamentos, que es violentada, que vive en la incertidumbre...",25 ago.,@aracelibs
"@lopezobrador_  Se ha metido en toda área menos en la suya. Sabía usted que cuando hay agresiones de delincuentes contra quien sea y se encuentre en riesgo la vida de los demás y de uno mismo, la orden directa es de matar al sosodicho?",25 ago.,@ALICIA90014450
"@lopezobrador_  No sé como dirigirme con usted! TÚ, oiga, Oyes, disculpe usted! Lo único que sé y pienso que no se que le Pasa por su cabeza! Qué los años  según nos hacen más sabios, buena experiencia y aprendizaje? Lamento, usted ni sabio, ni experiencia ni aprendizaje tiene🤦🏽‍♀️",25 ago.,@ALICIA90014450
"Ya hay medicinas para tratamiento oncológico?
Ya aparecieron las pipas nuevas?
Ya rescataste Pemex?
Ya se cerró el caso de los 43?
Ya bajó el índice de inseguridad?
Ya se presentaron León y tu hermano a declarar (sin ampararse)?
Ya... Olvídalo, tu sexenio valió mdres hace mucho.",25 ago.,@OsvaldoLuciotto
"Pinches chairos como son pendej0s.
No pagan ni la tenencia de sus carretillas, no pagan ni el predial de sus pocilgas, y ya están pensando en donde ""estacionar"" el avión que no van a entregar.

De veras hay que ser bien estúpido para creerle al pejelagarto todas sus mentiras.",25 ago.,@LicValebertha
Donde quedó la lana de los moches???,25 ago.,@oscarrb35
"Mucha pinche conferencia,  mucho pinche discurso y ni empleo, ni crecimiento económico, ni medicamentos, ni quimioterapias. Eso si , 60 mil muertes por homicidio doloso, 180 mil por la pandemia. 

Neta , mejor sería que ni amanecierán.",25 ago.,@SoyYo_J
¿Este spot es para la campaña de 2021?,26 ago.,@FrayreEmilio
"Pero las remesas no son un logro tuyo!...💩💩💩, haciendo caravana con sombrero ajeno!!!",26 ago.,@Lazarillochw
"No queremos esa Águila en los alrededores del zócalo capitalino, no es nuestro escudo Nacional y no tiene nada que ver con la independencia ni con la fecha!!!",26 ago.,@Lazarillochw
Qué diría Benito Juárez si escuchara su mensaje ... evangelizador,26 ago.,@ISROAGM
"¿Por qué no comienza por darles este discurso a sus hijos, a esos prósperos empresarios. Que al inicio de su gobierno no sabían a qué dedicarse y que en solo 2 años han amasado una fortuna que los mexicanos no pueden obtener en una vida de trabajo? Farsante corrupto.",26 ago.,@jramos56
