Presidente,Mes,Encuestadora,Abrueba,DesAbrueba
VFQ,mar-02,Reforma,47,42
VFQ,feb-02,Consulta,44,53
VFQ,feb-02,Demotecnia,48,45
VFQ,dic-01,Reforma,61,29
VFQ,nov-01,Consulta,59,38
VFQ,nov-01,GEA-ISA,57,35
VFQ,nov-01,Demotecnia,59,32
VFQ,ago-01,Consulta,61,32
VFQ,ago-01,GEA-ISA,59,32
VFQ,ago-01,Reforma,64,25
VFQ,ago-01,Demotecnia,37,25
VFQ,may-01,Consulta,62,30
VFQ,may-01,Reforma,65,24
VFQ,may-01,Demotecnia,63,24
VFQ,mar-01,GEA-ISA,73,17
VFQ,feb-01,Consulta,69,23
VFQ,feb-01,Reforma,70,11
VFQ,feb-01,Demotecnia,71,18
VFQ,ene-01,GEA-ISA,72,13
VFQ,nov-00,Consulta,69,23
